Date,Startup_Name,Industry_Vertical,SubVertical,City_Location,Investors_Name,Investment_Type,Amount_USD,Remarks,Year,amount_category,investor_count
2019-04-10,Unacademy,EdTech,E-learning,Bangalore,Kalyan Krishnamurthy,Seed Funding,307000.0,No Remark,2019,Low,1
2019-04-11,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,26000000.0,No Remark,2019,High,3
2019-06-03,FabHotels,ECommerce,Hospitality,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",Private Equity,4889975.54,No Remark,2019,Medium,2
2019-06-03,Avail Finance,FinTech,FinTech,Bangalore,Matrix Partners,Series A,9000000.0,No Remark,2019,Medium,1
2019-06-04,BharatPe,FinTech,FinTech,New Delhi,Insight Partners,Series B,75000000.0,No Remark,2019,High,1
2019-06-04,Recykal,Technology,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",Pre-Series A,26000000.0,No Remark,2019,High,2
2019-04-12,Medlife,Technology,Online Medicine,Bangalore,Prasid Uno Family Trust,Private Equity,17000000.0,No Remark,2019,High,1
2019-04-16,Kuvera,FinTech,Wealth Management,Bangalore,Eight Roads,Series A,45000000.0,No Remark,2019,High,1
2019-05-31,Bira91,FoodTech,Brewery,New Delhi,Sixth Sense Ventures,Series B,5600000.0,No Remark,2019,Medium,1
2019-05-30,GlowRoad,Technology,Retail,Bangalore,"Korea Investment Partners, Vertex Ventures",Series B,11500000.0,No Remark,2019,High,2
2019-05-28,FreshVnF,Technology,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Funding,140000000.0,No Remark,2019,High,1
2019-05-28,Ather Energy,Technology,Electric Vehicle,Bangalore,Sachin Bansal,Series C,51000000.0,No Remark,2019,High,1
2019-04-10,Kabadiwala,Technology,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,430665.0,No Remark,2019,Low,5
2019-04-13,Tripoto,Technology,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,3591375.0,No Remark,2019,Medium,5
2019-02-01,FleetX,Artificial Intelligence,Logistics,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre-Series A,5546500.0,No Remark,2019,Medium,1
2019-02-08,Zilingo,ECommerce,Fashion & Apparel,Unknown,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,226000000.0,No Remark,2019,High,4
2019-04-12,Azah,Technology,Organic wellness,Gurgaon,Unnamed angel investors,Seed Funding,200000.0,No Remark,2019,Low,1
2019-04-11,Setu,FinTech,Banking,Bangalore,Lightspeed India Partners,Seed Funding,3500000.0,No Remark,2019,Medium,1
2019-04-19,My Healthcare,Technology,Software Solutions,Bangalore,Sixth Sense Ventures,Series A,3000000.0,No Remark,2019,Medium,1
2019-04-19,KrazyBee,Technology,Lending Platform,Bangalore,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt Funding,14342000.0,No Remark,2019,High,4
2019-04-17,Shuttl,Technology,Bus Aggregation,Gurgaon,New Atlantic Ventures,Venture Round,5000000.0,No Remark,2019,Medium,1
2019-04-17,Increff,Technology,Supply-chain technology solutions,Bangalore,"021 Capita, Binny Bansal",Series A,3000000.0,No Remark,2019,Medium,2
2019-11-17,Burger Singh,FoodTech,Indian Burger Brand,Gurgaon,RB Investments,Venture Round,6956200.0,No Remark,2019,Medium,1
2019-11-13,Sunstone Eduversity Pvt. Ltd,EdTech,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed Funding,1500000.0,No Remark,2019,Medium,3
2019-01-04,Samunnati Financial Intermediation & Services Pvt. Ltd,FinTech,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt Funding,5000000.0,No Remark,2019,Medium,2
2019-01-04,Vyome Therapeutics Inc.,Technology,Specialty pharmaceutical,Unknown,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,22000000.0,No Remark,2019,High,3
2019-01-03,CarDekho,Technology,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,110000000.0,No Remark,2019,High,3
2019-02-13,NanoClean Global,Technology,Anti-Pollution,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,600000.0,No Remark,2019,Low,4
2019-11-20,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,17411265.0,No Remark,2019,High,1
2019-11-18,Healthians,Technology,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,12000000.0,No Remark,2019,High,2
2019-11-19,Digital Mall Asia,ECommerce,Virtual e-commerce platform,New Delhi,Amour Infrastructure,Seed Funding,220000000.0,No Remark,2019,High,1
2019-11-11,eBikeGo,Technology,Electric bike rental,Amritsar,Startup Buddy,Seed Funding,300000.0,No Remark,2019,Low,1
2019-11-20,Clumio,SaaS,Recovery software,Unknown,"Altimeter Capital, Sutter Hill Ventures",Series C,135000000.0,No Remark,2019,High,2
2019-11-12,SuperGaming,Gaming,Social gaming platform,Pune,Dream Incubator,Seed Funding,1300000.0,No Remark,2019,Medium,1
2019-11-15,Ninjacart,Technology,Agritech,Bangalore,Trifecta Capital Advisors,Debt Funding,26000000.0,No Remark,2019,High,1
2019-09-04,Atomberg Technology,Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,10000000.0,No Remark,2019,Medium,1
2019-09-04,GOQii,Technology,Wearable Fitness Bands,Unknown,Bennett Coleman and Company Ltd (BCCL),Series C,450000000.0,No Remark,2019,High,1
2019-09-03,Vyapar App,Technology,Mobile-based Accounting Software,Bangalore,"India Quotient, Axilor Ventures",Series A,5000000.0,No Remark,2019,Medium,2
2018-01-31,iNurture,Technology,Education Solutions,Bangalore,Ventureast,Private Equity,4400000.0,No Remark,2018,Medium,1
2018-01-30,Scapic,Technology,Virtual Reality,Bangalore,"Axilor Ventures, Newfort Capital",Seed Funding,500000.0,No Remark,2018,Low,2
2018-01-30,BrowserStack,Technology,Browser Testing,Mumbai,Accel Partners,Private Equity,50000000.0,No Remark,2018,High,1
2018-01-30,PeeSafe,Healthcare,Hygiene,Gurgaon,"Shivani Singh, Rahul Maroli, Mitesh Shah, Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures.",Private Equity,1000000.0,No Remark,2018,Medium,7
2018-01-29,The Wedding Brigade,Consumer Internet,Online Services,Mumbai,Blume Ventures,Private Equity,1000000.0,No Remark,2018,Medium,1
2018-01-29,eKincare,Healthcare,Technology,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, Touchstone Equities, BVR Mohan Reddy",Private Equity,1500000.0,No Remark,2018,Medium,5
2018-12-02,Career Anna,EdTech,"Video-based certification, trainings",Gurgaon,Individual Investors,Pre-Series A,572000.0,No Remark,2018,Low,1
2018-12-04,Nagpur Wholesale,ECommerce,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,143000.0,No Remark,2018,Low,1
2018-01-22,Paperflite,Technology,IT,Chennai,The Chennai Angels,Seed Funding,400000.0,No Remark,2018,Low,1
2018-01-22,HungerBox,Consumer Internet,Food and Beverages,Bangalore,Lionrock Capital,Private Equity,2500000.0,No Remark,2018,Medium,1
2018-01-22,Skillate,Technology,Artificial Intellegence,Bangalore,"Incubate Fund India, Anuj Agrawal",Private Equity,25795550.0,No Remark,2018,High,2
2018-01-22,OptaCredit,FinTech,Alternative Lending,Chennai,DMI Finance,Private Equity,4000000.0,No Remark,2018,Medium,1
2018-02-21,Udaan,ECommerce,B2B Marketplace,Bangalore,Lightspeed & Yuri Milner,Private Equity,50000000.0,No Remark,2018,High,1
2018-02-21,Capillary,Technology,SaaS,Bangalore,"Wargburg Pincus, Sequoia",Private Equity,20000000.0,No Remark,2018,High,2
2018-02-21,The Healthy Billions,Healthcare,Analytics,Gurgaon,"Blume Ventures, HealthQuad and Fireside Ventures",Private Equity,2100000.0,No Remark,2018,Medium,2
2018-02-21,HighRadius,Technology,Cloud-based Software,Hyderabad,"PNC, Citi Ventures",Private Equity,25795550.0,No Remark,2018,High,2
2018-02-26,Avishkaar Box,EdTech,Education,New Delhi,Auxano Deals,Private Equity,772500.0,No Remark,2018,Low,1
2018-02-26,Planys Technologies,Technology,Robotic InspectionStartup,Chennai,"Kris Gopalakrishnan, Pratithi Investment Trust, MEMG Family Office, S Gopal",Private Equity,1040000.0,No Remark,2018,Medium,4
2018-02-27,Lollypop,Technology,Digital Design,Bangalore,Dr Devi Shetty,Seed Funding,1529113.0,No Remark,2018,Medium,1
2018-02-27,Trilyo,Technology,AI platform for hospitality industry,Mumbai,"Startup Buddy,Amit Manocha and others",Seed Funding,250000.0,No Remark,2018,Low,2
2018-02-28,Gaana,Technology,Online Music Streaming,Gurgaon,"Tencent Holdings Ltd, Times Internet",Private Equity,115000000.0,No Remark,2018,High,2
2018-02-28,Credy,Technology,SaaS,Bangalore,"Y Combinator, Khosla Ventures, Vy Capital and others",Seed Funding,1400000.0,No Remark,2018,Medium,3
2018-10-12,LetsTransport,Logistics,Book Trucks Online,Bangalore,Fosun International,Series C,12000000.0,No Remark,2018,High,1
2018-09-01,Netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,35000000.0,No Remark,2018,High,2
2018-09-03,Udaan,B2B,Logistics and Shipping,Bangalore,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Equity,225000000.0,No Remark,2018,High,1
2018-09-03,Daily hunt,Consumer Internet,News and ebooks Mobile App\\xc2\\xa0,Bangalore,Falcon Edge,Private Equity,6390000.0,No Remark,2018,Medium,1
2018-09-04,3HCare,Healthcare,Healthcare Service Provider,New Delhi,Unknown,Seed Funding,1000000.0,No Remark,2018,Medium,1
2018-09-04,HappyGoEasy,Consumer Internet,Online Travel Agecy,Gurgaon,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Private Equity,25795550.0,No Remark,2018,High,2
2018-12-06,ShopKirana,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,2000000.0,No Remark,2018,Medium,3
2018-12-06,BuildSupply,SaaS,"Real Estate, ERP",Gurgaon,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,3500000.0,No Remark,2018,Medium,4
2018-11-01,GoDesi,FoodTech,Regional Flavours,Bangalore,Lead Angels Network,Seed Funding,138995.0,No Remark,2018,Low,1
2018-11-03,Veritas Finance Ltd.,FinTech,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,27799000.0,No Remark,2018,High,3
2018-11-06,Meesho,ECommerce,Social Commerce,Bangalore,"Shunwei Capital, DST Partners and RPS Ventures",Series C,50000000.0,No Remark,2018,High,2
2018-11-08,Mobile Premier League,Technology,Mobile e-Sports,Bangalore,Undisclosed,Series A,500000.0,No Remark,2018,Low,1
2018-11-08,A&R Bon Vivants,FoodTech,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Other,1000000.0,No Remark,2018,Medium,2
2018-11-12,Blackbuck,Technology,POS For Online Ordering,Bangalore,Tiger Global,Series A,1000000.0,No Remark,2018,Medium,1
2018-11-12,MilkBAsket,FoodTech,Micro-delivery grocery service,New Delhi,Mayfield Fund,Series B,1300000.0,No Remark,2018,Medium,1
2018-11-13,DriveU,Technology,On-Demand Drivers,Bangalore,Stevens Creek Ventures,Other,1000000.0,No Remark,2018,Medium,1
2018-08-02,Samosa Labs,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,7000000.0,No Remark,2018,Medium,1
2018-08-03,ZiffyHomes,Consumer Internet,Online Home Rental Marketplace,Gurgaon,Y Combinator,Private Equity,120000.0,No Remark,2018,Low,1
2018-08-07,My OmNamo,Consumer Internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Mumbai,Unknown,Seed Funding,1000000.0,No Remark,2018,Medium,1
2018-08-07,ShopX,Consumer Internet,Assisted E-commerce Platform,Bangalore,Fung Strategic Holdings,Private Equity,35000000.0,No Remark,2018,High,1
2018-08-07,MakeMyTrip,Consumer Internet,Online Travel Aggregator,Gurgaon,MakeMyTrip Limited,Private Equity,10000000.0,No Remark,2018,Medium,1
2018-08-08,Hansel io,Consumer Internet,Real-time Mobile App Management,Bangalore,Vertex Ventures,Seed Funding,4000000.0,No Remark,2018,Medium,1
